Order,Year,Month,AB,AL,AO,ME,OD,OL,PD
1,1989,3,0,1.25,5,0.75,15.75,0,7.5
2,1989,4,0.5,1.25,3.5,0.75,11.5,0,5
3,1989,5,0,1.75,1.5,0.25,11,0,4
4,1989,6,0.25,1.25,2,0.25,9,0.25,3
5,1989,7,0.25,2.25,2,0.25,8.75,0,2.75
6,1989,8,0.25,2,2.75,0.25,4.25,0,0.75
7,1989,9,0,1.75,1.25,0.5,1,0,0.75
8,1989,10,0,0.25,1.25,0.25,1,0.25,0.75
9,1989,11,0,0,1.25,0.75,2,0,1
10,1989,12,0,0,1.75,1.75,8.25,0,1.75
11,1990,1,0,0,1.5,2.5,6.25,0,5.5
12,1990,2,0,1.25,1.75,2.25,6,3.25,7.75
13,1990,3,0.25,0.5,2,2.75,6.75,1.25,8.5
14,1990,4,0.25,0.75,1.5,1.75,7.75,2,6
15,1990,5,0.5,0.75,1.75,1.5,6.25,1.5,5.5
16,1990,6,0.25,0.25,2.25,0.75,4.75,3,2.25
17,1990,7,0,0.25,2.25,0.5,6.75,2.5,4
18,1990,8,0,0,1.5,0.5,3.25,0,1.75
19,1990,9,0.25,0,0.25,0.75,3.5,0,0.75
20,1990,10,0.5,0,0.5,1,2.25,0,4.25
21,1990,11,0.25,0,0.5,0.25,3,0,3
22,1990,12,0.5,0,0.5,0.5,2.75,0,4
23,1991,1,0.5,0,0.25,0.5,3.75,0,4
24,1991,2,0.25,0,0.25,0.5,2.75,0,4.75
25,1991,3,0.25,0,0.25,0.25,4,0,3
26,1991,4,0,0,0.25,1,2,0,1.5
27,1991,5,0,0,0,0.25,1.5,0,1
28,1991,6,0,0,0.5,0.5,0.75,0,0.25
29,1991,7,0,0,0,0,0,0,0
30,1991,8,0,0,0,0,0,0,0
31,1991,9,0,0,2.25,0,0,0,0.75
32,1991,10,0,0.5,2.5,0.25,0,1.25,1.25
33,1991,11,0.5,1.25,26,2.5,2,1.25,4
34,1991,12,0.25,1.75,36.25,1.75,1.25,5,8.5
